time,eload,Temp,Drew_point,Relative_Humidity,Extra_Horiz_Rad,Extra_Direct_Rad
01/01/17 01:00,288.888912,5,1.7,79,0,0
01/01/17 02:00,283.333356,5,2.8,86,0,0
01/01/17 03:00,288.888912,5,2.8,86,0,0
01/01/17 04:00,283.333356,5.6,3.3,86,0,0
01/01/17 05:00,300.000024,6.1,3.9,86,0,0
01/01/17 06:00,319.44447,7.8,4.4,80,0,0
01/01/17 07:00,372.222252,6.7,5.6,93,0,0
01/01/17 08:00,391.666698,6.7,5.6,93,0,35
01/01/17 09:00,336.111138,7.8,5,83,93,1415
01/01/17 10:00,294.444468,7.8,5.6,86,260,1415
01/01/17 11:00,248.611131,8.9,5,77,385,1415
01/01/17 12:00,243.6111306,9.4,5,74,456,1415
01/01/17 13:00,248.611131,6.1,5.6,96,469,1415
01/01/17 14:00,245.0000196,6.7,4.4,86,423,1415
01/01/17 15:00,250.5555756,6.7,4.4,86,320,1415
01/01/17 16:00,245.2777974,6.1,4.4,89,169,1415
01/01/17 17:00,341.666694,6.1,5,93,18,625
01/01/17 18:00,391.666698,6.1,5,93,0,0
01/01/17 19:00,397.222254,6.1,4.4,89,0,0
01/01/17 20:00,369.444474,6.1,4.4,89,0,0
01/01/17 21:00,375.00003,5.6,4.4,93,0,0
01/01/17 22:00,344.444472,6.1,4.4,89,0,0
01/01/17 23:00,325.000026,6.1,4.4,89,0,0
01/02/17 00:00,294.444468,6.1,4.4,89,0,0
01/02/17 01:00,338.888916,6.7,3.9,83,0,0
01/02/17 02:00,333.33336,6.1,4.4,89,0,0
01/02/17 03:00,338.888916,6.1,4.4,89,0,0
01/02/17 04:00,333.33336,6.7,4.4,86,0,0
01/02/17 05:00,350.000028,6.1,4.4,89,0,0
01/02/17 06:00,405.555588,6.1,4.4,89,0,0
01/02/17 07:00,475.000038,6.1,4.4,89,0,0
01/02/17 08:00,647.222274,6.7,4.4,86,0,35
01/02/17 09:00,1280.555658,6.7,4.4,86,93,1415
01/02/17 10:00,1244.444544,6.7,4.4,86,261,1415
01/02/17 11:00,1194.44454,8.3,3.3,71,386,1415
01/02/17 12:00,1194.44454,8.9,2.2,63,458,1415
01/02/17 13:00,1144.444536,7.8,3.9,77,471,1415
01/02/17 14:00,1191.666762,8.3,3.3,71,425,1415
01/02/17 15:00,1191.666762,7.8,3.9,77,323,1415
01/02/17 16:00,1191.666762,7.8,3.3,74,172,1415
01/02/17 17:00,1283.333436,8.9,3.3,69,19,649
01/02/17 18:00,1138.88898,9.4,3.3,66,0,0
01/02/17 19:00,891.666738,8.9,3.3,69,0,0
01/02/17 20:00,866.666736,8.3,3.9,74,0,0
01/02/17 21:00,666.66672,7.2,4.4,83,0,0
01/02/17 22:00,644.444496,6.7,4.4,86,0,0
01/02/17 23:00,383.333364,6.7,4.4,86,0,0
01/03/17 00:00,322.222248,7.2,3.9,80,0,0
01/03/17 01:00,311.111136,7.2,4.4,83,0,0
01/03/17 02:00,311.111136,8.9,5,77,0,0
01/03/17 03:00,311.111136,8.3,5,80,0,0
01/03/17 04:00,311.111136,8.3,6.1,86,0,0
01/03/17 05:00,325.000026,7.8,6.7,93,0,0
01/03/17 06:00,386.111142,7.8,6.7,93,0,0
01/03/17 07:00,469.444482,7.8,5.6,86,0,0
01/03/17 08:00,644.444496,7.2,5.6,89,0,35
01/03/17 09:00,1277.77788,7.2,5,86,94,1415
01/03/17 10:00,1241.666766,7.2,5,86,262,1415
01/03/17 11:00,1191.666762,7.8,5,83,388,1415
01/03/17 12:00,1191.666762,7.8,5.6,86,460,1415
01/03/17 13:00,1141.666758,8.9,5,77,474,1415
01/03/17 14:00,1191.666762,8.9,5,77,428,1415
01/03/17 15:00,1191.666762,8.3,5,80,326,1415
01/03/17 16:00,1191.666762,7.8,5.6,86,175,1415
01/03/17 17:00,1283.333436,7.2,6.1,93,21,672
01/03/17 18:00,1138.88898,7.2,5,86,0,0
01/03/17 19:00,891.666738,6.7,5,89,0,0
01/03/17 20:00,866.666736,7.2,4.4,83,0,0
01/03/17 21:00,666.66672,7.2,3.9,80,0,0
01/03/17 22:00,641.666718,7.2,3.3,77,0,0
01/03/17 23:00,383.333364,7.2,3.3,77,0,0
01/04/17 00:00,322.222248,6.7,4.4,86,0,0
01/04/17 01:00,311.111136,6.1,5,93,0,0
01/04/17 02:00,311.111136,6.1,5.6,96,0,0
01/04/17 03:00,311.111136,6.1,5,93,0,0
01/04/17 04:00,311.111136,5.6,5,96,0,0
01/04/17 05:00,325.000026,5.6,4.4,93,0,0
01/04/17 06:00,386.111142,5,3.9,93,0,0
01/04/17 07:00,469.444482,6.1,3.3,83,0,0
01/04/17 08:00,641.666718,5.6,3.3,86,0,35
01/04/17 09:00,1277.77788,5.6,3.9,89,94,1415
01/04/17 10:00,1241.666766,5.6,3.9,89,263,1415
01/04/17 11:00,1191.666762,6.7,3.9,83,389,1415
01/04/17 12:00,1191.666762,6.7,4.4,86,462,1415
01/04/17 13:00,1141.666758,7.8,5,83,476,1415
01/04/17 14:00,1191.666762,7.8,4.4,80,431,1415
01/04/17 15:00,1191.666762,7.8,3.9,77,329,1415
01/04/17 16:00,1191.666762,7.8,4.4,80,179,1415
01/04/17 17:00,1280.555658,7.2,3.9,80,22,696
01/04/17 18:00,1138.88898,6.7,3.3,80,0,0
01/04/17 19:00,891.666738,5,3.3,89,0,0
01/04/17 20:00,866.666736,4.4,2.8,89,0,0
01/04/17 21:00,666.66672,4.4,3.3,93,0,0
01/04/17 22:00,641.666718,5,3.9,93,0,0
01/04/17 23:00,383.333364,3.9,2.2,89,0,0
01/05/17 00:00,322.222248,3.3,1.7,89,0,0
01/05/17 01:00,311.111136,1.7,0.6,92,0,0
01/05/17 02:00,311.111136,2.8,1.1,89,0,0
01/05/17 03:00,313.888914,2.2,1.1,93,0,0
01/05/17 04:00,311.111136,0,-0.6,96,0,0
01/05/17 05:00,338.888916,0,0,100,0,0
01/05/17 06:00,408.333366,-1.1,-1.1,100,0,0
01/05/17 07:00,469.444482,0.6,0.6,100,0,0
01/05/17 08:00,641.666718,0.6,0.6,100,0,35
01/05/17 09:00,1277.77788,-0.6,-0.6,100,95,1415
01/05/17 10:00,1241.666766,2.8,2.2,96,264,1415
01/05/17 11:00,1191.666762,2.2,2.2,100,391,1415
01/05/17 12:00,1191.666762,2.8,2.8,100,464,1415
01/05/17 13:00,1141.666758,3.3,2.8,96,479,1415
01/05/17 14:00,1191.666762,5,3.3,89,434,1415
01/05/17 15:00,1191.666762,6.7,3.3,80,333,1415
01/05/17 16:00,1191.666762,6.1,2.8,80,182,1415
01/05/17 17:00,1280.555658,3.9,2.2,89,24,719
01/05/17 18:00,1138.88898,3.3,2.2,93,0,0
01/05/17 19:00,891.666738,2.2,1.7,96,0,0
01/05/17 20:00,866.666736,2.2,1.1,93,0,0
01/05/17 21:00,666.66672,2.8,2.2,96,0,0
01/05/17 22:00,641.666718,2.8,1.1,89,0,0
01/05/17 23:00,383.333364,0,0,100,0,0
01/06/17 00:00,325.000026,-0.6,-0.6,100,0,0
01/06/17 01:00,313.888914,-2.2,-2.8,96,0,0
01/06/17 02:00,311.111136,-1.7,-2.2,96,0,0
01/06/17 03:00,330.555582,-1.7,-2.2,96,0,0
01/06/17 04:00,336.111138,-1.7,-1.7,100,0,0
01/06/17 05:00,344.444472,-1.1,-1.1,100,0,0
01/06/17 06:00,408.333366,-1.7,-1.7,100,0,0
01/06/17 07:00,469.444482,-2.2,-2.8,96,0,0
01/06/17 08:00,644.444496,-2.8,-2.8,100,0,35
01/06/17 09:00,1277.77788,-2.2,-2.2,100,96,1415
01/06/17 10:00,1241.666766,-1.1,-1.1,100,265,1415
01/06/17 11:00,1191.666762,-0.6,-0.6,100,393,1415
01/06/17 12:00,1191.666762,0.6,0.6,100,466,1415
01/06/17 13:00,1141.666758,1.1,1.1,100,482,1415
01/06/17 14:00,1191.666762,3.9,2.2,89,437,1415
01/06/17 15:00,1191.666762,3.3,1.1,86,336,1415
01/06/17 16:00,1191.666762,3.3,1.7,89,186,1415
01/06/17 17:00,1280.555658,1.7,1.1,96,26,766
01/06/17 18:00,1138.88898,1.1,1.1,100,0,0
01/06/17 19:00,891.666738,0.6,0.6,100,0,0
01/06/17 20:00,866.666736,1.1,1.1,100,0,0
01/06/17 21:00,666.66672,1.1,1.1,100,0,0
01/06/17 22:00,641.666718,0.6,0.6,100,0,0
01/06/17 23:00,383.333364,0,0,100,0,0
01/07/17 00:00,325.000026,-1.1,-1.1,100,0,0
01/07/17 01:00,262.7777988,-1.7,-1.7,100,0,0
01/07/17 02:00,266.1111324,-1.7,-1.7,100,0,0
01/07/17 03:00,286.111134,-1.7,-1.7,100,0,0
01/07/17 04:00,280.555578,-1.7,-2.2,96,0,0
01/07/17 05:00,297.222246,-2.2,-2.2,100,0,0
01/07/17 06:00,316.666692,-2.2,-2.2,100,0,0
01/07/17 07:00,469.444482,-2.2,-2.8,96,0,0
01/07/17 08:00,494.444484,-3.9,-3.9,100,0,35
01/07/17 09:00,780.555618,-3.3,-3.9,96,97,1415
01/07/17 10:00,744.444504,-2.2,-2.2,100,267,1415
01/07/17 11:00,694.4445,-1.7,-2.2,96,395,1415
01/07/17 12:00,694.4445,-0.6,-0.6,100,469,1415
01/07/17 13:00,694.4445,0.6,-0.6,92,485,1415
01/07/17 14:00,694.4445,2.8,0.6,86,441,1415
01/07/17 15:00,358.333362,3.3,-0.6,76,340,1415
01/07/17 16:00,358.333362,2.8,-1.1,76,190,1415
01/07/17 17:00,447.222258,2.2,0,85,28,790
01/07/17 18:00,405.555588,1.7,-0.6,85,0,0
01/07/17 19:00,369.444474,2.2,-3.3,67,0,0
01/07/17 20:00,347.22225,0,-2.2,85,0,0
01/07/17 21:00,358.333362,-0.6,-1.7,92,0,0
01/07/17 22:00,341.666694,0.6,-2.8,79,0,0
01/07/17 23:00,322.222248,1.1,-5,64,0,0
01/08/17 00:00,294.444468,-1.1,-5,75,0,0
01/08/17 01:00,286.111134,-0.6,-5.6,69,0,0
01/08/17 02:00,280.555578,0,-6.1,64,0,0
01/08/17 03:00,286.111134,-1.7,-5.6,75,0,0
01/08/17 04:00,283.333356,-2.2,-5.6,78,0,0
01/08/17 05:00,300.000024,-1.7,-2.2,96,0,0
01/08/17 06:00,319.44447,-2.2,-2.8,96,0,0
01/08/17 07:00,372.222252,-3.9,-4.4,96,0,0
01/08/17 08:00,394.444476,-3.3,-3.9,96,0,59
01/08/17 09:00,336.111138,-1.7,-2.2,96,98,1415
01/08/17 10:00,294.444468,-1.7,-1.7,100,269,1415
01/08/17 11:00,249.7222422,0.6,0,96,397,1415
01/08/17 12:00,244.1666862,1.7,0.6,92,472,1415
01/08/17 13:00,248.0555754,4.4,0,73,488,1415
01/08/17 14:00,243.8889084,5,-0.6,68,444,1415
01/08/17 15:00,247.7777976,5.6,-1.7,60,344,1415
01/08/17 16:00,243.8889084,4.4,-1.7,65,194,1415
01/08/17 17:00,338.888916,2.2,-1.7,76,30,813
01/08/17 18:00,391.666698,3.3,-3.3,62,0,0
01/08/17 19:00,394.444476,3.3,-6.1,50,0,0
01/08/17 20:00,369.444474,2.8,-6.7,50,0,0
01/08/17 21:00,372.222252,2.2,-6.7,52,0,0
01/08/17 22:00,344.444472,2.8,-7.2,48,0,0
01/08/17 23:00,325.000026,2.8,-7.2,48,0,0
01/09/17 00:00,294.444468,2.2,-7.2,50,0,0
01/09/17 01:00,338.888916,2.2,-7.8,48,0,0
01/09/17 02:00,333.33336,1.1,-7.8,52,0,0
01/09/17 03:00,338.888916,1.7,-7.8,50,0,0
