time,eload,Temp,Drew_point,Relative_Humidity,Extra_Horiz_Rad,Extra_Direct_Rad
01/01/06 01:00,286.111134,1.1,-5,64,0,0
01/01/06 02:00,283.333356,0,-5,69,0,0
01/01/06 03:00,288.888912,-0.6,-1.1,96,0,0
01/01/06 04:00,283.333356,0,-1.1,92,0,0
01/01/06 05:00,300.000024,-0.6,-2.8,85,0,0
01/01/06 06:00,319.44447,-1.7,-2.8,92,0,0
01/01/06 07:00,375.00003,-2.2,-3.9,89,0,0
01/01/06 08:00,394.444476,-1.1,-2.8,89,0,0
01/01/06 09:00,336.111138,-0.6,-2.8,85,98,1344
01/01/06 10:00,294.444468,1.1,-2.2,79,263,1415
01/01/06 11:00,251.1111312,2.8,-1.7,73,388,1415
01/01/06 12:00,245.5555752,3.9,-2.8,62,458,1415
01/01/06 13:00,250.8333534,5,-2.8,58,470,1415
01/01/06 14:00,245.2777974,5.6,-2.8,55,423,1415
01/01/06 15:00,250.5555756,5,-1.7,62,319,1415
01/01/06 16:00,245.2777974,3.9,-2.2,65,167,1415
01/01/06 17:00,341.666694,1.7,-2.2,76,44,519
01/01/06 18:00,391.666698,1.1,-2.8,76,0,0
01/01/06 19:00,397.222254,1.1,-2.2,79,0,0
01/01/06 20:00,369.444474,0.6,-1.7,85,0,0
01/01/06 21:00,375.00003,-0.6,-2.8,85,0,0
01/01/06 22:00,344.444472,-0.6,-2.8,85,0,0
01/01/06 23:00,325.000026,-0.6,-2.2,89,0,0
01/02/06 00:00,294.444468,-0.6,-2.8,85,0,0
01/02/06 01:00,338.888916,0,-3.3,79,0,0
01/02/06 02:00,333.33336,-1.1,-3.3,85,0,0
01/02/06 03:00,338.888916,-1.7,-3.9,85,0,0
01/02/06 04:00,333.33336,-0.6,-5,72,0,0
01/02/06 05:00,350.000028,-1.7,-6.7,69,0,0
01/02/06 06:00,408.333366,-4.4,-5.6,92,0,0
01/02/06 07:00,475.000038,-1.7,-5.6,75,0,0
01/02/06 08:00,650.000052,-3.3,-3.9,96,0,0
01/02/06 09:00,1280.555658,-1.7,-4.4,82,98,1344
01/02/06 10:00,1244.444544,0.6,-6.7,59,264,1415
01/02/06 11:00,1194.44454,1.1,-5,64,389,1415
01/02/06 12:00,1194.44454,2.2,-5,59,460,1415
01/02/06 13:00,1144.444536,3.3,-4.4,57,472,1415
01/02/06 14:00,1191.666762,3.9,-5,53,425,1415
01/02/06 15:00,1191.666762,3.9,-5.6,51,322,1415
01/02/06 16:00,1191.666762,3.3,-5.6,53,170,1415
01/02/06 17:00,1283.333436,1.1,-6.1,59,46,519
01/02/06 18:00,1141.666758,0.6,-4.4,70,0,0
01/02/06 19:00,891.666738,0,-3.9,75,0,0
01/02/06 20:00,866.666736,-1.1,-3.3,85,0,0
